,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Годинанареновирање,Адреса
1920,1€,41.8027767535006,20.9081091586914,5,315m²,3спрата,Друго,400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,2,Да,Гаража+1Паркинг,Исток,2017,2017,zivkobrajkoski111
1921,1€,41.9236572182608,21.6279430800696,3,80m²,1спрат,Дрва,1500m²,Половинакуќа,Нова,Наместен,1Балкон,1,Не,Повеќеод4паркингместа,Југоисток,,,Р'жаничино-Петровец
1922,62900€,41.9870695865131,21.4519291484375,3,200m²,1спрат,Друго,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Да,1Паркинг,Југозапад,1995,1995,Pripor
1923,По договор,42.009423,20.971549,6,400m²,2спрата,Централно,900m²,Вила,Нова,Наместен,3Балкони,3,Да,Повеќеод4паркингместа,Југоисток,,,
1924,1€,41.978187,21.427388,3,80m²,Приземје,Нема,313m²,Останато,Стара,Наместен,Нема,1,Да,1Гаража,Запад,1955,1963,ИванМилутиновиќ7
1925,60000€,42.0025495871091,21.5023246966302,7,133m²,Високоприземје,Нема,50m²,Двo-семејнакуќа,Реновирана,Празен,1Балкон,2,Да,Нема,Југоисток,1990,2014,улМаџари5бр12
1926,35000€,41.3704012779948,21.2497298578543,5,120m²,2спрата,Дрва,80m²,Двo-семејнакуќа,Реновирана,Наместен,1Балкон,1,Не,1Паркинг,Запад,,,Todorproeski34
1927,По договор,41.090247,21.016781,8,150m²,2спрата,Нема,1020m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Исток,1970,1990,seloJankovec
1928,По договор,41.963428190919,21.4492254817505,6,150m²,Приземје,Друго,120m²,Двo-семејнакуќа,Реновирана,Наместен,1Балкон,3,Да,4Паркингместа,Исток,,,КиселаВода
1929,1€,42.132926,21.715878,8,200m²,2спрата,Друго,1000m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Да,3Паркингместа,Југ,,,sRezanovce
1930,195€,41.440569,22.639528,10,477m²,3спрата,Дрва,277m²,Еднасемејнакуќа-Самостојна,Нова,Празен,4Балкони,2,Да,3Паркингместа,Исток,2013,2014,1
1931,360000€,42.1356975018823,21.7255171338327,11,930m²,Повеќеод4спрата,Централно,128m²,Мултисемејнакуќа,Стара,Празен,Тераса+Повеќеод5балкони,Повеќеод4,Да,Повеќеод4паркингместа,Југоисток,2000,,IvoLolaRibar85
1932,70000€,42.132926,21.715878,11,290m²,2спрата,Друго,385m²,Двo-семејнакуќа,Реновирана,Полунаместен,1Балкон,3,Да,Гаража+1Паркинг,Југозапад,,,NaselbaKarposul170br16
1933,1€,41.315781,22.566826,4,85m²,1спрат,Друго,250m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Да,1Паркинг,Југ,,,29November24
1934,1МКД,41.14712,22.507161,6,150m²,2спрата,Струја,100m²,Еднасемејнакуќа-Самостојна,Реновирана,Луксузен,1Балкон,2,Да,2Паркингместа,Југ,1930,2018,UlMarsalTitobb
1935,1МКД,41.51282,20.96083,8,100m²,2спрата,Дрва,150m²,Двo-семејнакуќа,Стара,Полунаместен,1Балкон,2,Не,3Паркингместа,Исток,1960,2005,Ulmickostankoskibr7
1936,1€,41.031728,21.329358,7,230m²,2спрата,Друго,60m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,4Балкони,3,Да,2Паркингместа,Југозапад,,,DameGruev48
1937,1€,42.205478,22.333429,4,60m²,2спрата,Дрва,100m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,1,Да,1Паркинг,Запад,80,2015,KRIVAPALANKA
1938,1€,42.0003251483162,21.4074343442917,8,280m²,3спрата,Друго,900m²,Еднасемејнакуќа-Самостојна,Нова,Празен,4Балкони,2,Да,4Паркингместа,Југозапад,,,
1939,1€,41.993825,21.436139,7,290m²,Приземје,Нема,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Југозапад,,,UlAlbertStanic
1940,170000€,41.9870695865131,21.4519291484375,8,273m²,2спрата,Друго,230m²,Мултисемејнакуќа,Стара,Наместен,3Балкони,2,Да,Гаража+1Паркинг,Југоисток,,,PetarMandzukov27b
1941,1€,41.9870695865131,21.4519291484375,3,100m²,2спрата,Друго,50m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Не,2Паркингместа,Север,1980,1990,ulalpibr10
1942,110000€,41.9870695865131,21.4519291484375,4,88m²,Приземје,Нема,285m²,Останато,Стара,Празен,2Балкони,1,Да,Гаража+Повеќеод4паркингместа,Исток,,,ВЛАЕ
1943,59900€,41.9870695865131,21.4519291484375,2,70m²,Приземје,Дрва,289m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,1Паркинг,Југозапад,1980,,
1944,270000€,41.991502,21.39781,8,320m²,3спрата,Струја,100m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,3,Не,2Паркингместа,Исток,2007,,taftalidze
1945,18000€,41.031728,21.329358,35,100m²,1спрат,Нема,120m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,1Гаража,Југ,1965,,Струшка19Битола
1946,25000€,41.14712,22.507161,35,80m²,Приземје,Централно,36m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,Нема,1,Не,Нема,Југ,1978,2019,МаршалТитобр175
1947,По договор,41.337355,21.33078,10,158m²,2спрата,Дрва,580m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+2Балкони,2,Да,Повеќеод4паркингместа,Југоисток,1975,,Кривогаштани
1948,65000€,41.51282,20.96083,5,100m²,2спрата,Дрва,244m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Не,2Паркингместа,Северозапад,1990,,uldebarskabr4
