,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
583,100000€,42.009423,20.971549,8,172m²,2спрата,Друго,317m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,2,Не,1Паркинг,Југ,,,
584,260000€,41.1218932672824,20.7942652702332,6,220m²,1спрат,Централно,597m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,2,Да,1Паркинг,Запад,,VoblizinanaHFlamengo,
585,По договор,41.9870695865131,21.4519291484375,10,360m²,2спрата,Централно,500m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Повеќеод5балкони,4,Да,Гаража+Повеќеод4паркингместа,Југоисток,,улАнтонДимитровбр1,
586,По договор,41.9870695865131,21.4519291484375,6,150m²,Високоприземје,Дрва,400m²,Двo-семејнакуќа,Реновирана,Полунаместен,2Балкони,2,Да,Гаража+2Паркингместа,Југоисток,,000,
587,230000€,41.991502,21.39781,5,193m²,2спрата,Друго,150m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,3,Не,2Паркингместа,Југозапад,,Козле,
588,150000€,41.991502,21.39781,3,500m²,2спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,2Паркингместа,Југозапад,,УлКозле,
589,250000€,42.052075,21.450415,6,250m²,2спрата,Друго,451m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,4Балкони,3,Не,3Паркингместа,Југозапад,,Радишани,
590,135000€,42.00877,21.45126,2,160m²,Приземје,Друго,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,1,Да,1Паркинг,Југозапад,,Ченто-Скопје,2020
591,1€,42.0042397896812,21.5128703042865,7,110m²,Приземје,Друго,300m²,Двo-семејнакуќа,Стара,Празен,1Балкон,1,Да,4Паркингместа,Исток,,,
592,130000€,41.9870695865131,21.4519291484375,5,164m²,3спрата,Струја,35m²,Дуплекс-Лепенакуќа,Нова,Празен,3Балкони,2,Да,1Гаража,Север,1991,VasilChakalarov38/5-b,
593,65000€,41.715954,21.770997,10,180m²,2спрата,Дрва,100m²,Двo-семејнакуќа,Реновирана,Наместен,Тераса+2Балкони,2,Да,1Гаража,Југоисток,1970,9noemvribr20,1990
594,140000€,42.132926,21.715878,6,260m²,3спрата,Друго,7500m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,4Балкони,2,Да,Гаража+Повеќеод4паркингместа,Југоисток,1997,DOBRASANENADKLANICA,2006
595,123€,41.949632,21.502494,4,93m²,1спрат,Нема,420m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,2,Не,3Паркингместа,Исток,,ЃорѓиКапче47,
596,170000€,41.111733,20.798579,6,240m²,3спрата,Друго,,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,3,Да,Нема,Југ,2000,КлиментовУниверзитет,
597,70000€,41.111733,20.798579,4,65m²,2спрата,Друго,170m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Тераса,2,Не,2Паркингместа,Југ,,ВелестовоОхрид,
598,190000€,41.111733,20.798579,12,350m²,2спрата,Друго,450m²,Еднасемејнакуќа-Самостојна,Нова,Празен,4Балкони,3,Не,Гаража+3Паркингместа,Југозапад,2019,УлПрилепска,
599,140000€,41.111733,20.798579,6,115m²,Приземје,Друго,295m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Тераса,2,Да,4Паркингместа,Југозапад,,Охрид,
600,350000€,41.111733,20.798579,7,270m²,2спрата,Друго,330m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Тераса,1,Не,2Паркингместа,Југозапад,,УлНаумОхридски,
601,200000€,41.111733,20.798579,8,200m²,3спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,3,Да,1Паркинг,Југозапад,,УлВасилГлавинов,
602,84600€,41.111733,20.798579,5,172m²,2спрата,Друго,123m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Тераса,2,Да,Гаража+2Паркингместа,Југозапад,,Видобишта,
603,185000€,41.111733,20.798579,9,270m²,3спрата,Друго,187m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,3Балкони,3,Не,4Паркингместа,Југозапад,,УлКралиМарко,
604,165000€,41.111733,20.798579,5,122m²,1спрат,Друго,234m²,Двo-семејнакуќа,Реновирана,Наместен,3Балкони,2,Да,2Паркингместа,Југозапад,,УлПартизанска,
605,120000€,41.111733,20.798579,35,130m²,2спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,Тераса+1Балкон,2,Не,Гаража+3Паркингместа,Југ,,SLjubanista-Ohrid,
606,70000€,41.031728,21.329358,9,220m²,3спрата,Нема,320m²,Останато,Стара,Празен,Тераса+1Балкон,3,Не,1Паркинг,Исток,1987,Jablanica8,1987
607,230€,41.9870695865131,21.4519291484375,3,80m²,2спрата,Струја,,Мултисемејнакуќа,Стара,Наместен,Нема,1,Не,Нема,Исток,2013,AtanasBabata,2015
608,47000€,41.93375,21.621843,3,55m²,Приземје,Струја,1800m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Не,3Паркингместа,Југ,1995,Petrovec,
609,1€,41.949632,21.502494,5,123m²,Приземје,Струја,224m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,1,Да,Нема,Југоисток,1964,12taMakedonskaBrigadabroj58b,1972
610,35000€,42.132926,21.715878,4,87m²,1спрат,Дрва,,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,2,Не,1Паркинг,Запад,2003,KuzmanJosifovskiPitu27,
611,115000€,41.931839,21.502835,6,250m²,1спрат,Друго,500m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Не,2Паркингместа,Североисток,,Pintija,
612,200000€,41.9870695865131,21.4519291484375,4,250m²,2спрата,Струја,450m²,Двo-семејнакуќа,Нова,Наместен,Тераса+1Балкон,1,Не,3Паркингместа,Исток,2009,ulMarkoKralebr128b,
613,1€,42.0051462619997,20.9736907477782,12,125m²,3спрата,Друго,750m²,Мултисемејнакуќа,Нова,Празен,3Балкони,1,Да,1Паркинг,Југозапад,,ul29noemvribr79,
614,140000€,42.052075,21.450415,3,140m²,1спрат,Друго,600m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Тераса,1,Да,2Паркингместа,Југ,2019,Butel,
615,92000€,41.9323602868927,21.638183276312,5,188m²,2спрата,Нема,450m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,2,Не,3Паркингместа,Југ,2021,Р'жаничино,
616,250000€,42.052075,21.450415,10,250m²,3спрата,Друго,350m²,Мултисемејнакуќа,Нова,Наместен,5Балкони,4,Да,2Паркингместа,Југ,2000,,
617,1€,41.9870695865131,21.4519291484375,15,350m²,3спрата,Друго,200m²,Останато,Нова,Наместен,5Балкони,3,Не,3Паркингместа,Исток,2010,Nikolakarev,201
618,111111111€,41.9870695865131,21.4519291484375,35,110m²,2спрата,Струја,20m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Тераса,2,Да,3Паркингместа,Југоисток,,4julistaroBorisSarafovponovo,
619,80000€,42.0079402631602,21.3495551882745,3,74m²,1спрат,Дрва,113m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,Тераса+1Балкон,1,Да,Гаража+2Паркингместа,Југоисток,1984,Jadranska,
620,32000€,41.3475188418417,21.5549861517243,5,70m²,1спрат,Нема,77m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Да,1Паркинг,Југозапад,,ИлкаПрисаѓанка36,
621,1€,41.745515,22.19396,4,120m²,1спрат,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,2Балкони,1,Да,2Паркингместа,Југ,1980,Karbinci,
622,1€,42.00877,21.45126,4,,1спрат,Дрва,1m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Да,3Паркингместа,Исток,,Brnjarci,
623,100000€,41.973480036966,21.4581193089439,4,70m²,Приземје,Струја,210m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Гаража+1Паркинг,Југ,1970,SpiroGulapcev8b,1970
624,88999€,42.009423,20.971549,4,230m²,Приземје,Друго,117m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Југоисток,,,
625,48000€,41.346182,21.553379,6,145m²,2спрата,Нема,194m²,Двo-семејнакуќа,Стара,Полунаместен,2Балкони,2,Да,1Паркинг,Југозапад,,Самоилова36,
626,57999€,42.009423,20.971549,4,63m²,2спрата,Друго,/m²,Останато,Реновирана,Наместен,Тераса+1Балкон,1,Не,1Паркинг,Југ,,ČapčooSokače,
627,33500€,42.009423,20.971549,2,69m²,1спрат,Друго,/m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Тераса,1,Да,1Паркинг,Југоисток,,Koltuk,
628,150000€,42.009423,20.971549,3,281m²,2спрата,Друго,348m²,Двo-семејнакуќа,Стара,Празен,3Балкони,3,Да,2Паркингместа,Југозапад,,PrBavča,
629,1€,41.9870695865131,21.4519291484375,4,112m²,1спрат,Струја,200m²,Мултисемејнакуќа,Стара,Наместен,3Балкони,2,Да,1Паркинг,Запад,,ДимоХаџиДимов,
630,25000€,41.031728,21.329358,4,78m²,2спрата,Дрва,10m²,Дуплекс-Лепенакуќа,Стара,Наместен,3Балкони,1,Да,Нема,Југозапад,1970,БраќаМиладиновциЈенимале,2010
631,По договор,41.1186360749565,20.815492272377,4,145m²,Високоприземје,Дрва,330m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Не,1Гаража,Запад,,VangelNikoloski10,
632,8€,42.1298939223205,21.6837311721611,6,175m²,2спрата,Дрва,756m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Да,2Паркингместа,Југ,1980,Ulica811broj13ZeleznickaStanica,
633,1€,41.978187,21.427388,12,600m²,3спрата,Друго,600m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Повеќеод5балкони,Повеќеод4,Да,Повеќеод4паркингместа,Исток,1960,SalvadorAljende,1970
634,1€,41.7354541849072,22.190826293081,12,466m²,3спрата,Централно,120m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,5Балкони,4,Да,4Паркингместа,Север,,KocoRacin5,
635,1€,42.00877,21.45126,3,73m²,Приземје,Дрва,392m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Тераса,1,Да,3Паркингместа,Североисток,1974,НасГоцеДелчевул204бр4,
636,28000€,41.715954,21.770997,3,59m²,1спрат,Дрва,15m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,Нема,Југоисток,,ДимоХаџиДимовбр15,
637,374999€,42.009423,20.971549,15,390m²,2спрата,Друго,255m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,3,Да,1Паркинг,Југ,,Tetovčanka,
638,39000€,41.51282,20.96083,9,100m²,2спрата,Друго,70m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,2,Да,Повеќеод4паркингместа,Исток,2000,,2000
639,1€,42.1322813334018,21.7126559000462,8,110m²,3спрата,Дрва,435m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,3,Да,Гаража+Повеќеод4паркингместа,Исток,,DjuroDjakovic69,
640,1€,41.51282,20.96083,10,214m²,3спрата,Друго,65m²,Двo-семејнакуќа,Реновирана,Полунаместен,4Балкони,4,Да,1Гаража,Југозапад,,,
641,По договор,41.949632,21.502494,5,200m²,1спрат,Струја,1500m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Да,4Паркингместа,Исток,1992,,
642,1€,41.9870695865131,21.4519291484375,6,180m²,2спрата,Друго,300m²,Двo-семејнакуќа,Реновирана,Празен,2Балкони,2,Да,Гаража+4Паркингместа,Југ,1998,Ivanmanolev59,
643,46000€,41.9870695865131,21.4519291484375,5,110m²,1спрат,Нема,500m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Тераса,1,Не,1Паркинг,Исток,,Petrovec,
644,По договор,41.9870695865131,21.4519291484375,5,100m²,1спрат,Дрва,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Тераса+1Балкон,1,Не,2Паркингместа,Југоисток,1990,ultovarnikbr37anascento,2019
645,1€,41.931839,21.502835,12,560m²,3спрата,Друго,560m²,Двo-семејнакуќа,Нова,Полунаместен,5Балкони,4,Да,2Паркингместа,Север,2000,Dracevo,2000
646,45000€,41.635743,22.470056,4,120m²,2спрата,Дрва,90000m²,Вила,Нова,Наместен,2Балкони,1,Не,Гаража+1Паркинг,Исток,2017,Radovis,
647,25000€,41.14712,22.507161,3,62m²,Приземје,Дрва,134m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Да,1Паркинг,Исток,1970,Marsaltito,2000
648,1€,41.9870695865131,21.4519291484375,12,409m²,3спрата,Друго,500m²,Еднасемејнакуќа-Самостојна,Нова,Празен,Повеќеод5балкони,Повеќеод4,Не,3Паркингместа,Југоисток,2012,ul4,
649,По договор,41.9974083903437,21.5029910416181,4,65m²,Приземје,Струја,650m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Нема,1,Не,Гаража+4Паркингместа,Југозапад,,Madzari,2019
650,1€,41.9906740483886,21.4181118571778,8,300m²,2спрата,Струја,10m²,Вила,Нова,Луксузен,Повеќеод5балкони,Повеќеод4,Да,Повеќеод4паркингместа,Југ,2019,ElisijePopovski,
651,1€,41.3525363046135,21.5533999757127,4,80m²,1спрат,Нема,70m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,1Паркинг,Југ,,11OKTOMVRIbr186,
652,1€,41.801881,20.913259,8,880m²,3спрата,Друго,762m²,Двo-семејнакуќа,Нова,Наместен,4Балкони,2,Да,1Гаража,Југоисток,2016,MALEARDI,2017
653,70000€,42.0701273252022,21.4554439674196,6,215m²,2спрата,Нема,702m²,Двo-семејнакуќа,Воградба,Празен,1Тераса,2,Да,1Гаража,Југозапад,,ул„50“бр2РадишаниСкопје,
654,1€,41.0551491965997,21.3496971130371,3,100m²,1спрат,Друго,1800m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,Гаража+1Паркинг,Исток,1980,сРaштaнибб,1980
655,1€,41.031728,21.329358,25,2m²,1спрат,Дрва,2m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Не,Нема,Исток,2,ПецеБожиноскибр46жБитола,2
656,1€,42.013646,21.32586,4,120m²,2спрата,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,1,Не,2Паркингместа,Југ,1988,,
657,1€,41.111733,20.798579,6,150m²,1спрат,Централно,250m²,Двo-семејнакуќа,Реновирана,Наместен,2Балкони,2,Да,Повеќеод4паркингместа,Југоисток,1986,Маркоцепенкобр10,2015
658,1€,41.9870695865131,21.4519291484375,45,152m²,Приземје,Друго,400m²,Двo-семејнакуќа,Стара,Празен,1Тераса,2,Да,2Паркингместа,Северозапад,,StojkoJovanovski,
659,123000€,42.052075,21.450415,4,105m²,1спрат,Струја,264m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,2Паркингместа,Југоисток,1974,улЉубаИвановиќбр7а,
660,По договор,41.936336181579,21.607870340069,3,56m²,Приземје,Дрва,350m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,1,Не,2Паркингместа,Исток,2007,Petrovec,2007
661,1€,41.993825,21.436139,10,210m²,1спрат,Друго,500m²,Двo-семејнакуќа,Реновирана,Празен,4Балкони,3,Да,3Паркингместа,Југозапад,1990,Менделеева68,
662,1€,41.993825,21.436139,6,410m²,2спрата,Дрва,337m²,,,,,,,,,,,
663,83000€,41.9870695865131,21.4519291484375,4,103m²,2спрата,Друго,58m²,Половинакуќа,Реновирана,Полунаместен,1Балкон,2,Не,1Паркинг,Југ,2001,Радишанска120Б,2017
664,1€,41.346182,21.553379,5,160m²,1спрат,Дрва,398m²,Мултисемејнакуќа,Реновирана,Полунаместен,2Балкони,2,Да,Гаража+1Паркинг,Југоисток,1970,ПандораЧесноска15,2010
665,1€,41.924335,22.404964,4,1m²,2спрата,Дрва,1m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Тераса,1,Да,2Паркингместа,Југоисток,,naumnaumovskiborce,
666,1€,41.9870695865131,21.4519291484375,45,152m²,Приземје,Друго,400m²,Двo-семејнакуќа,Стара,Празен,1Тераса,2,Да,2Паркингместа,Северозапад,,StojkoJovanovski,
667,1МКД,41.9870695865131,21.4519291484375,7,250m²,2спрата,Струја,600m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Да,Повеќеод4паркингместа,Југ,2005,Bardovci,
668,1€,41.51282,20.96083,8,160m²,2спрата,Централно,300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Не,1Паркинг,Југ,2000,,2010
669,По договор,42.1376963439784,21.7053783238635,12,257m²,2спрата,Струја,370m²,Двo-семејнакуќа,Стара,Празен,3Балкони,3,Да,Гаража+1Паркинг,Северозапад,1965,БороПрцанбр8,
670,По договор,42.0035100297452,21.3650994669469,5,143m²,Приземје,Струја,494m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Тераса,2,Не,2Паркингместа,Запад,,крстогермовшакир,
671,1€,41.111733,20.798579,8,210m²,2спрата,Дрва,10m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,2,Не,1Паркинг,Исток,2000,Ohridskabrigada3,12
672,1€,42.052075,21.450415,8,275m²,2спрата,Централно,660m²,Еднасемејнакуќа-Самостојна,Стара,Празен,5Балкони,3,Да,Гаража+Повеќеод4паркингместа,Југоисток,1969,Rokomija,
673,По договор,41.51282,20.96083,6,138m²,2спрата,Дрва,206m²,Двo-семејнакуќа,Реновирана,Наместен,2Балкони,2,Не,4Паркингместа,Југ,1986,MarsalTito10v,2002
674,95000€,41.031728,21.329358,8,240m²,2спрата,Централно,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Не,3Паркингместа,Југозапад,1990,Solunska261,2005
675,75000€,41.993825,21.436139,35,80m²,Приземје,Централно,150m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Не,Нема,Северозапад,96,Kostaabraseviq,98
676,1€,41.1804627850998,21.8294370174408,4,80m²,1спрат,Дрва,600m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Нема,1,Да,1Паркинг,Југ,1963,LigoRasaVitoliste,
677,40000€,41.346182,21.553379,4,75m²,1спрат,Нема,91m²,Останато,Стара,Празен,1Балкон,1,Да,Нема,Југ,,ИлкаПрисаѓанкабр21,
678,1€,41.949632,21.502494,10,220m²,2спрата,Друго,300m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,4Балкони,2,Да,1Гаража,Североисток,1987,НаселбаЛисиче,2021
679,123456€,42.013646,21.32586,10,235m²,3спрата,Струја,400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Да,3Паркингместа,Југозапад,2010,Damegruev,2010
680,89000€,41.745515,22.19396,8,200m²,3спрата,Струја,50m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,4Балкони,3,Не,3Паркингместа,Исток,1985,CvetaJovanova,
681,130000€,42.00877,21.45126,8,160m²,Високоприземје,Друго,1000m²,Двo-семејнакуќа,Реновирана,Празен,4Балкони,2,Да,Гаража+1Паркинг,Југоисток,1962,БлагојаСтефовски2,1995
682,47900€,41.440569,22.639528,3,100m²,2спрата,Дрва,206m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,2Паркингместа,Исток,1970,KrusevskaRepublika,
683,120000€,41.715954,21.770997,7,170m²,1спрат,Струја,/m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Да,1Паркинг,Исток,2005,8маВелешкабригадабр20,
684,23000€,41.346182,21.553379,4,202m²,Приземје,Дрва,152m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,1,Не,Гаража+1Паркинг,Југ,,РадеИваноскиБр30,2017
685,1€,41.70205581067,20.756909622243,2,45m²,2спрата,Централно,1m²,Вила,Нова,Луксузен,2Балкони,2,Не,2Паркингместа,Северозапад,2021,MavroviAnovi,
686,200000€,41.51282,20.96083,45,240m²,2спрата,Струја,300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,1,Да,Повеќеод4паркингместа,Југоисток,2003,MarsalTito61,
687,29999€,42.132926,21.715878,3,64m²,2спрата,Струја,30m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Да,1Паркинг,Југоисток,,BajramShabanibr5,
688,42000€,41.0242428455027,21.3406720700721,4,100m²,2спрата,Друго,100m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,Тераса+1Балкон,1,Да,1Гаража,Запад,1954,УлАриАнгелковскибр4А,
689,1€,42.052075,21.450415,7,302m²,3спрата,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Стара,Празен,4Балкони,3,Да,Гаража+2Паркингместа,Исток,,,
690,300000€,41.9870695865131,21.4519291484375,5,250m²,2спрата,Струја,400m²,Дуплекс-Лепенакуќа,Нова,Празен,4Балкони,2,Да,1Паркинг,Југоисток,2000,,
691,1€,41.031728,21.329358,15,500m²,Повеќеод4спрата,Централно,400m²,Еднасемејнакуќа-Самостојна,Нова,Празен,Тераса+Повеќеод5балкони,4,Да,3Паркингместа,Југоисток,2012,KocoColakov,2012
692,95000€,41.9870695865131,21.4519291484375,6,120m²,2спрата,Друго,300m²,Останато,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Исток,1990,GUTENBERGOVA8,
693,1€,41.715954,21.770997,10,250m²,3спрата,Нема,50m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Да,Нема,Југоисток,1955,veles,1980
694,1€,41.51282,20.96083,10,170m²,2спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,4Балкони,4,Не,Повеќеод4паркингместа,Исток,2005,,2005
695,9000€,41.715954,21.770997,6,120m²,2спрата,Нема,80m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,2Паркингместа,Југозапад,1960,ToseSazdov,1970
696,55000€,41.031728,21.329358,4,100m²,1спрат,Друго,4m²,Половинакуќа,Стара,Празен,2Балкони,1,Да,1Гаража,Југ,,NaumNaumovskiBorche11,
697,550000€,41.9870695865131,21.4519291484375,9,446m²,3спрата,Друго,100m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,4,Не,2Паркингместа,Југоисток,2018,Водно,2018
698,80000€,41.111733,20.798579,6,170m²,2спрата,Друго,300m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Да,2Паркингместа,Југоисток,,ohrid,
699,32000€,41.031728,21.329358,4,1000m²,2спрата,Дрва,1000m²,Останато,Реновирана,Празен,1Балкон,1,Да,2Паркингместа,Исток,1970,Rastanska,2014
700,1€,41.7177099933194,21.7847174403869,4,60m²,2спрата,Нема,20m²,,,,,,,,,,,
701,160000€,41.9870695865131,21.4519291484375,15,500m²,3спрата,Друго,600m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,5Балкони,2,Да,2Паркингместа,Североисток,,Avstraliska22,
702,54000€,41.9870695865131,21.4519291484375,4,71m²,1спрат,Струја,250m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,Тераса+1Балкон,1,Да,Гаража+1Паркинг,Југ,,улЃорѓиКапчевбр21/1,
703,75000€,41.991502,21.39781,25,65m²,Приземје,Струја,135m²,Дуплекс-Лепенакуќа,Стара,Празен,Нема,1,Не,1Паркинг,Исток,,,
704,По договор,41.9870695865131,21.4519291484375,11,330m²,2спрата,Нема,330m²,Еднасемејнакуќа-Самостојна,Воградба,Полунаместен,3Балкони,3,Да,Гаража+2Паркингместа,Исток,1978,ФеридБајрамбр11б,2018
705,По договор,41.031728,21.329358,13,250m²,3спрата,Централно,3000m²,Двo-семејнакуќа,Реновирана,Наместен,3Балкони,3,Да,Гаража+2Паркингместа,Исток,2001,Debarska,2011
706,40000€,41.031728,21.329358,3,60m²,1спрат,Дрва,80m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,Тераса+1Балкон,1,Да,Гаража+1Паркинг,Југ,,улТошоДаскалот,
707,2€,42.132926,21.715878,6,120m²,2спрата,Дрва,1m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,2,Да,1Паркинг,Исток,2,БСГојчо,3
708,По договор,41.031728,21.329358,3,80m²,2спрата,Дрва,1500m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Да,3Паркингместа,Исток,1970,SDragozani,
709,110000€,41.9870695865131,21.4519291484375,6,128m²,2спрата,Струја,180m²,Останато,Стара,Наместен,2Балкони,3,Не,Гаража+2Паркингместа,Исток,1983,,
710,76000€,42.013646,21.32586,5,80m²,Приземје,Друго,80m²,Двo-семејнакуќа,Реновирана,Наместен,1Тераса,1,Не,Повеќеод4паркингместа,Запад,,Хром,
711,180000€,41.9870048315232,21.4215290504406,3,231m²,Приземје,Струја,636m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,2,Да,2Паркингместа,Север,1967,Белгрдска42,
712,По договор,41.7194572025398,21.7848337666421,15,270m²,Повеќеод4спрата,Друго,270m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Тераса+Повеќеод5балкони,Повеќеод4,Да,Гаража+Повеќеод4паркингместа,Југозапад,,BlagojaNecev3,
713,1€,42.052075,21.450415,7,300m²,3спрата,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Стара,Празен,4Балкони,3,Да,1Гаража,Исток,,,
714,1€,41.9870695865131,21.4519291484375,12,300m²,2спрата,Друго,400m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,4Балкони,4,Да,2Паркингместа,Исток,2000,,
715,45000€,41.14712,22.507161,7,200m²,2спрата,Дрва,500m²,Двo-семејнакуќа,Стара,Полунаместен,2Балкони,1,Да,2Паркингместа,Исток,1985,Edvardkardelj,2000
716,80000€,41.14712,22.507161,6,150m²,2спрата,Струја,480m²,Двo-семејнакуќа,Реновирана,Наместен,2Балкони,2,Не,Гаража+1Паркинг,Исток,1994,Dojran,2013
717,25000€,41.14712,22.507161,35,100m²,Приземје,Дрва,450m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Не,1Паркинг,Исток,1983,Marsaltito,1999
718,90000€,41.111733,20.798579,6,180m²,2спрата,Друго,330m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,2,Не,2Паркингместа,Запад,,ohrid,
719,48000€,41.346182,21.553379,5,100m²,Приземје,Дрва,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Да,1Паркинг,Запад,,UlLenin148Prilep,2018
720,65000€,41.14712,22.507161,5,131m²,Високоприземје,Струја,735m²,Двo-семејнакуќа,Реновирана,Полунаместен,2Балкони,2,Не,1Гаража,Исток,1985,Partizanska,2000
721,140000€,41.14712,22.507161,4,103m²,2спрата,Струја,200m²,Двo-семејнакуќа,Реновирана,Наместен,2Балкони,1,Не,2Паркингместа,Исток,1990,Partizanska48,2019
722,135000€,41.14712,22.507161,5,147m²,3спрата,Дрва,420m²,Мултисемејнакуќа,Реновирана,Полунаместен,2Балкони,2,Да,3Паркингместа,Исток,1989,MarsalTitoStardojran,2013
