,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
1113,По договор,41.745515,22.19396,3,110m²,1спрат,Дрва,20m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Балкон,1,Не,1Паркинг,Североисток,,ШирокДол,
1114,55000€,41.031728,21.329358,6,59000m²,2спрата,Дрва,45m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,2Балкони,2,Да,1Паркинг,Југоисток,,НАДОБЛАСТА,
1115,По договор,41.373181,21.252891,4,100m²,2спрата,Дрва,159m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Да,1Паркинг,Југ,1967,КочаМиленку61,
1116,1€,41.031728,21.329358,35,60m²,1спрат,Струја,240m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Тераса,1,Не,3Паркингместа,Југозапад,,Bukovskimost,2021
1117,75000€,41.031728,21.329358,5,105m²,2спрата,Дрва,,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Не,1Паркинг,Југозапад,,,
1118,81000€,41.9870695865131,21.4519291484375,5,140m²,Приземје,Друго,500m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Тераса+1Балкон,2,Не,1Паркинг,Југозапад,2020,Драчево,
1119,159000€,41.031728,21.329358,12,276m²,Приземје,Друго,464m²,Мултисемејнакуќа,Нова,Празен,3Балкони,1,Да,Повеќеод4паркингместа,Југозапад,,ЦЕНТАР,
1120,66000€,41.031728,21.329358,4,120m²,2спрата,Струја,,Дуплекс-Лепенакуќа,Стара,Празен,1Балкон,1,Да,1Паркинг,Северозапад,,ЦЕНТАР,
1121,700000€,41.031728,21.329358,10,335m²,3спрата,Струја,335m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Да,1Паркинг,Запад,,ШИРОКСОКАК,
1122,1€,41.9807227804695,21.4348120605919,6,180m²,2спрата,Дрва,360m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,Тераса+1Балкон,2,Да,3Паркингместа,Југ,,uldrenovskaklisurabr14,
1123,1€,41.801881,20.913259,45,120m²,2спрата,Централно,500m²,Вила,Нова,Наместен,2Балкони,1,Не,2Паркингместа,Исток,2021,soncevadolina,2012
1124,105000€,41.9870695865131,21.4519291484375,7,182m²,2спрата,Друго,372m²,Мултисемејнакуќа,Реновирана,Полунаместен,2Балкони,3,Да,Гаража+1Паркинг,Југ,2,Cento,2016
