,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Годинанаградба,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Адреса,Годинанареновирање
10203,48000€,41.931839,21.502835,2,54m²,Централно,7кат,ВоЗграда,Реновиран,Полунаместен,Да,,2Балкони,1,Да,1Паркинг,Југоисток,ToneTomsic25/1-14,2016
10204,43000€,42.0072740688013,21.3866866527678,2,48m²,Централно,4кат,ВоЗграда,Реновиран,Празен,Не,1971,Тераса+Повеќеод3балкони,1,Да,2Паркингместа,Југ,ТрифунБузев31/14Карпош4,2002
10205,43000€,41.031728,21.329358,3,60m²,Струја,5кат,ВоЗграда,Нов,Луксузен,Не,,Нема,1,Не,Повеќеод3паркингместа,Југ,,
10206,64000€,40.3128665117505,23.0648032179149,2,52m²,Друго,1кат,ВоЗграда,Реновиран,Наместен,Не,,1Балкон,1,Не,Нема,Исток,NeaIrakliaNeaKallikratia,
10207,1€,41.949632,21.502494,4,78m²,Централно,2кат,ВоЗграда,Нов,Празен,Да,2019,1Тераса,2,Не,Нема,Запад,Aerodrom,
10208,350€,41.931839,21.502835,3,85m²,Струја,4кат,ВоЗграда,Нов,Луксузен,Да,,1Балкон,1,Не,1Паркинг,Југ,KVODANARAMPA,
10209,1€,41.111733,20.798579,15,30m²,Друго,3кат,ВоЗграда,Стар,Полунаместен,Не,,1Балкон,1,Да,1Паркинг,Исток,,
10210,По договор,41.111733,20.798579,35,77m²,Струја,1кат,ВоЗграда,Нов,Празен,Да,2018,1Тераса,1,Не,1Паркинг,Исток,Rasadnik,
10211,63000€,41.949632,21.502494,3,60m²,Централно,8кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,Повеќеод3паркингместа,Југ,,
10212,500€,41.9389705731582,21.5254360635281,2,,Друго,1кат,ВоЗграда,Нов,Празен,Не,2018,2Балкони,1,Да,1Паркинг,Југ,ULmetodiPatcenbr37,2018
10213,82000€,41.9870695865131,21.4519291484375,3,79m²,Централно,4кат,ВоЗграда,Нов,Полунаместен,Да,,1Балкон,2,Не,Повеќеод3паркингместа,Северозапад,,
10214,1000€,41.9870695865131,21.4519291484375,45,87m²,Централно,Приземје,ВоЗграда,Нов,Полунаместен,Да,2009,1Балкон,2,Да,1Паркинг,Североисток,,
10215,900€,41.9870695865131,21.4519291484375,35,137m²,Струја,Приземје,ВоЗграда,Нов,Полунаместен,Да,2009,2Балкони,Повеќеод2,Да,1Паркинг,Југ,,
10216,92000€,41.9870695865131,21.4519291484375,3,87m²,Централно,2кат,ВоЗграда,Нов,Полунаместен,Да,,2Балкони,2,Не,1Паркинг,Југ,,
10217,1100€,41.978187,21.427388,3,67m²,Централно,3кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Гаража,Запад,centarkatolicka,
10218,58000€,41.9870695865131,21.4519291484375,1,66m²,Централно,2кат,ВоЗграда,Нов,Празен,Да,2013,1Балкон,1,Не,Нема,Исток,,
10219,1250€,41.978187,21.427388,3,77m²,Струја,2кат,ВоЗграда,Нов,Празен,Да,2018,Нема,1,Не,1Паркинг,Североисток,CentarVodno,
10220,1€,41.9870695865131,21.4519291484375,1,1m²,Струја,3кат,,,,,,,,,,,,
10221,62000€,41.9870695865131,21.4519291484375,2,53m²,Централно,6кат,ВоЗграда,Стар,Празен,Да,,1Тераса,1,Не,1Паркинг,Исток,,
10222,1€,41.9737215339506,21.4419516921043,2,71m²,Централно,1кат,ВоЗграда,Стар,Празен,Не,,1Балкон,1,Да,1Паркинг,Североисток,,
10223,40000€,41.9870695865131,21.4519291484375,2,46m²,Струја,5кат,ВоЗграда,Стар,Празен,Не,,1Тераса,1,Да,Нема,Североисток,,
10224,85000€,41.949632,21.502494,4,95m²,Централно,2кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,2,Да,Нема,Исток,aerodrom,
10225,52000€,41.9870695865131,21.4519291484375,3,66m²,Централно,3кат,ВоЗграда,Реновиран,Наместен,Не,,Нема,1,Да,Нема,Југ,,
10226,55000€,41.949632,21.502494,2,55m²,Централно,6кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Гаража,Исток,,
10227,110000€,41.9870695865131,21.4519291484375,3,103m²,Централно,4кат,ВоЗграда,Нов,Наместен,Да,2006,2Балкони,2,Да,Нема,Североисток,,
10228,55000€,41.9870695865131,21.4519291484375,3,60m²,Централно,3кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Да,Повеќеод3паркингместа,Исток,,
10229,850€,41.111733,20.798579,25,454m²,Друго,3кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Не,1Паркинг,Исток,Охрид,
10230,1€,40.8950810440505,21.1399895232171,4,70m²,Дрва,2кат,ВоЗграда,Реновиран,Наместен,Не,,Тераса+1Балкон,1,Не,Гаража+1Паркинг,Север,,
10231,68000€,41.9870695865131,21.4519291484375,2,56m²,Струја,1кат,ВоЗграда,Нов,Празен,Не,,1Тераса,1,Да,1Паркинг,Североисток,,
10232,58500€,41.9857062759355,21.4784245349636,25,84m²,Централно,12кат,ВоЗграда,Реновиран,Наместен,Да,1990,2Балкони,1,Да,Повеќеод3паркингместа,Исток,bulASNOM,2008
10233,1€,41.484224,22.089622,3,68m²,Струја,5кат,ВоЗграда,Стар,Наместен,Не,1990,Нема,1,Да,Нема,Југ,MarsalTito132,2006
10234,36000€,41.9870695865131,21.4519291484375,2,40m²,Струја,5кат,ВоЗграда,Нов,Празен,Да,,1Тераса,1,Не,1Паркинг,Североисток,,
10235,130000€,41.9870695865131,21.4519291484375,4,156m²,Централно,7кат,ВоЗграда,Реновиран,Празен,Да,,Повеќеод3балкони,Повеќеод2,Не,1Гаража,Исток,,
10236,1€,41.949632,21.502494,25,65m²,Централно,5кат,ВоЗграда,Реновиран,Наместен,Да,,1Балкон,1,Да,Повеќеод3паркингместа,Запад,Aerodrom,
10237,52000€,41.993825,21.436139,4,76m²,Струја,Приземје,ВоЗграда,Реновиран,Наместен,Не,2000,1Тераса,1,Да,1Паркинг,Северозапад,topansko,2018
