,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
4631,1МКД,42.132926,21.715878,Mercedes-Benz,E200,2004,Дизел,Автоматски,Седани,Црна,Македонска,052019,128kw/174ks,Еуро4,250000
4632,3000€,41.9870695865131,21.4519291484375,Mercedes-Benz,S320,2001,Дизел,Автоматски,Седани,Сина,Македонска,042020,1kw/1ks,Еуро3,300000
4633,1550€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,1997,Дизел,Рачен,Maлиградски,Црвена,Македонска,092020,66kw/90ks,Еуро2,250000
4634,1500€,41.9870695865131,21.4519291484375,Opel,Astra,2004,Бензин,Рачен,Хеџбек,Сива,Странска,012021,77kw/105ks,Еуро4,180000
4635,1700€,41.440569,22.639528,Seat,Ibiza,2000,Бензин/Плин,Рачен,Maлиградски,Сина,Македонска,122021,74kw/101ks,Еуро3,200000
4636,1€,41.346182,21.553379,Audi,A6,2014,Дизел,Автоматски,Седани,Бела,Македонска,012021,154kw/209ks,Останато,150000
4637,По договор,41.9870695865131,21.4519291484375,Mercedes-Benz,B200,2006,Дизел,Автоматски,Хеџбек,Сива,Македонска,122019,103kw/140ks,,140000
4638,4111€,41.111733,20.798579,VWVolkswagen,Touran,2004,Дизел,Рачен,Моноволумен,Црна,Македонска,072019,74kw/101ks,,200000
4639,2200€,41.978187,21.427388,Fiat,Punto,2005,Дизел,Рачен,Maлиградски,Жолта,Странска,012021,74kw/101ks,Еуро3,150000
4640,1€,41.346182,21.553379,Renault,Megane,1999,Бензин/Плин,Рачен,Каравани,Сива,Македонска,022020,79kw/107ks,Еуро4,200000
4641,850€,42.1166012024074,21.7078762148276,VWVolkswagen,Polo,1998,Бензин,Рачен,Maлиградски,Црвена,Македонска,022020,44kw/60ks,Еуро3,190000
4642,4199€,41.440569,22.639528,Opel,Zafira,2003,Бензин,Рачен,Моноволумен,Сина,Македонска,012021,141kw/192ks,Еуро3,190000
4643,26500€,41.9870695865131,21.4519291484375,Mitsubishi,L200,2019,Дизел,Рачен,Теренци-SUV,Бела,Македонска,032021,138kw/188ks,Еуро5,10000
4644,1400€,41.924335,22.404964,VWVolkswagen,NewBeetle,2000,Дизел,Рачен,Maлиградски,Црна,Странска,042020,66kw/90ks,,180000
4645,550€,42.132926,21.715878,Nissan,Micra,1988,Бензин/Плин,Рачен,Maлиградски,Црвена,Македонска,092020,40kw/54ks,Еуро4,190000
4646,13500€,41.9870695865131,21.4519291484375,Nissan,Patrol,2004,Дизел,Рачен,Теренци-SUV,Сива,Македонска,112020,118kw/160ks,Еуро4,190000
4647,16500€,41.9870695865131,21.4519291484375,Nissan,Patrol,2004,Дизел,Рачен,Теренци-SUV,Сива,Македонска,012021,116kw/158ks,Останато,150000
4648,1€,41.173346,20.677493,Mercedes-Benz,220,2003,Дизел,Рачен,Каравани,Сива,Македонска,052020,1kw/1ks,Останато,25000
4649,3000€,41.031728,21.329358,Renault,Laguna,2007,Дизел,Рачен,Каравани,Сива,Македонска,112019,130kw/177ks,,190000
4650,3100€,41.346182,21.553379,AlfaRomeo,Alfa147,2006,Дизел,Рачен,,,Македонска,052021,105kw/143ks,Еуро4,100000
4651,2300€,41.865485,21.940845,VWVolkswagen,Beetle,1999,Дизел,Рачен,Хеџбек,Сина,Македонска,112020,66kw/90ks,Еуро3,200000
4652,1€,41.9870695865131,21.4519291484375,BMW,530,2003,Дизел,Автоматски,Седани,Сива,Македонска,032021,0kw/0ks,Останато,
4653,3000€,41.484224,22.089622,Opel,Meriva,2005,Дизел,Рачен,Хеџбек,Црна,Македонска,012021,75kw/102ks,Останато,160000
4654,1€,42.009423,20.971549,VWVolkswagen,Polo,1998,Бензин,Рачен,Maлиградски,Црвена,Странска,012018,1kw/1ks,Еуро2,120000
4655,4650€,42.205478,22.333429,Audi,A4,2007,Дизел,Рачен,Каравани,Сива,Македонска,012019,103kw/140ks,Еуро4,190000
4656,По договор,42.0215270480176,20.985547886441,VWVolkswagen,Golf,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,092020,105kw/143ks,Останато,180000
4657,15000€,41.031728,21.329358,Mercedes-Benz,E350,2014,Бензин,Автоматски,Седани,Црна,Странска,012020,220kw/299ks,Еуро5,150000
4658,470€,42.132926,21.715878,Nissan,Primera,1993,Дизел,Рачен,Седани,Сива,Македонска,012019,55kw/75ks,Еуро4,200000
4659,1€,41.931839,21.502835,Citroen,Berlingo,2007,Дизел,Рачен,Останато,Бела,Македонска,012018,50kw/68ks,,190000
4660,2899€,41.931839,21.502835,Mercedes-Benz,E220,2000,Дизел,Автоматски,Седани,Сива,Македонска,082019,95kw/129ks,Еуро3,200000
4661,1€,41.978187,21.427388,Citroen,Nemo,2010,Дизел,Рачен,Останато,Бела,Македонска,032019,40kw/54ks,,130000
4662,По договор,41.884235,22.515181,Fiat,Marea,1999,Дизел,Рачен,Каравани,Црна,Странска,032020,77kw/105ks,Еуро2,120000
4663,3500€,41.989867,21.581912,AlfaRomeo,Alfa159,2007,Дизел,Рачен,Седани,Црна,Странска,032021,147kw/200ks,Еуро4,200000
4664,9950€,41.9944696769839,21.4210301005859,BMW,X3,2008,Дизел,Рачен,Теренци-SUV,Црна,Македонска,072020,130kw/177ks,Еуро4,150000
4665,17990€,41.1973573817178,20.6752317428071,Mercedes-Benz,300,2010,Дизел,Полуавтоматски,Седани,Сива,Македонска,112020,150kw/204ks,Еуро6,200000
4666,4000€,41.346182,21.553379,Toyota,Avensis,2004,Дизел,Рачен,Седани,Сива,Македонска,052020,85kw/116ks,,200000
4667,1200МКД,41.346182,21.553379,VWVolkswagen,Golf,1998,Дизел,Рачен,Хеџбек,Зелена,Македонска,022018,55kw/75ks,Еуро1,80000
4668,1850€,41.346182,21.553379,VWVolkswagen,Passat,1998,Дизел,Рачен,Каравани,Сина,Македонска,032020,105kw/143ks,,250000
4669,По договор,41.346182,21.553379,VWVolkswagen,Golf,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,012020,83kw/113ks,Еуро4,190000
4670,5500МКД,41.346182,21.553379,Audi,A4,1998,Дизел,Рачен,Седани,Црна,Македонска,092019,66kw/90ks,,65000
4671,5400€,41.9870695865131,21.4519291484375,Mercedes-Benz,C200,2005,Дизел,Рачен,Седани,,Македонска,042020,0kw/0ks,Еуро4,20000
4672,2000€,41.989867,21.581912,Opel,Corsa,2003,Дизел,Рачен,Maлиградски,Сина,Македонска,042020,48kw/65ks,Еуро3,200000
4673,7500€,41.9870695865131,21.4519291484375,VWVolkswagen,Touareg,2003,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,062020,128kw/174ks,Еуро4,250000
4674,По договор,41.346182,21.553379,Ford,Fiesta,2005,Бензин,Рачен,Хеџбек,Сина,Македонска,012020,59kw/80ks,,150000
4675,4200€,41.715954,21.770997,Mercedes-Benz,C270,2004,Дизел,Автоматски,Седани,Сива,Македонска,062020,125kw/170ks,Еуро4,20000
4676,3200€,41.346182,21.553379,AlfaRomeo,Alfa147,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,042020,105kw/143ks,Еуро4,150000
4677,2790€,42.132926,21.715878,Renault,Scenic,2004,Дизел,Рачен,Моноволумен,Зелена,Македонска,012020,88kw/120ks,Еуро3,190000
4678,2999€,41.924335,22.404964,Mercedes-Benz,A160,2005,Дизел,Рачен,Maлиградски,Црна,Македонска,122020,60kw/82ks,Еуро4,190000
4679,1€,41.173346,20.677493,Daewoo,Другмодел,1999,Дизел,Рачен,Останато,Сива,Македонска,062020,1kw/1ks,Еуро1,200000
4680,1€,42.132926,21.715878,Mitsubishi,L200,2004,Дизел,Рачен,Теренци-SUV,Црна,Македонска,042018,115kw/156ks,,10000
4681,15000€,41.031728,21.329358,Mercedes-Benz,E350,2014,Бензин,Автоматски,Седани,Црна,Странска,012020,225kw/306ks,Еуро5,150000
4682,1300€,41.9870695865131,21.4519291484375,Fiat,Punto,2000,Бензин/Плин,Рачен,Maлиградски,Сива,Македонска,072020,96kw/131ks,Останато,190000
4683,1€,41.9870695865131,21.4519291484375,Seat,Alhambra,2003,Дизел,Рачен,Моноволумен,Бела,Македонска,052020,86kw/117ks,Еуро4,250000
4684,22000€,42.009423,20.971549,Chevrolet,Camaro,2011,Бензин,Полуавтоматски,Купеа,Бела,Странска,012021,241kw/328ks,Еуро6,150000
4685,3200€,41.978187,21.427388,Opel,Meriva,2008,Дизел,Рачен,Хеџбек,,Македонска,032021,74kw/101ks,Останато,200000
4686,3400€,41.9870695865131,21.4519291484375,Seat,Ibiza,2008,Дизел,Рачен,Maлиградски,Сива,Македонска,032021,0kw/0ks,Останато,190000
4687,3700€,41.865485,21.940845,Seat,Leon,2006,Дизел,Рачен,Хеџбек,Златна,Македонска,042020,75kw/102ks,Еуро5,200000
4688,750€,41.9870695865131,21.4519291484375,Fiat,Uno,1997,Бензин/Плин,Рачен,Maлиградски,Црвена,Македонска,032020,70kw/95ks,Останато,130000
4689,1€,41.9870695865131,21.4519291484375,Audi,A4,2009,Бензин,Рачен,Седани,Црна,Македонска,032021,111kw/151ks,Останато,10000
4690,3300€,41.715954,21.770997,VWVolkswagen,Golf,2003,Дизел,Рачен,Седани,Сива,Македонска,112020,74kw/101ks,Еуро4,190000
4691,4000€,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2004,Дизел,Автоматски,Моноволумен,Сива,Македонска,052020,103kw/140ks,Еуро4,200000
4692,2300€,41.484224,22.089622,Peugeot,406,2000,Дизел,Рачен,Седани,Сива,Македонска,072020,76kw/103ks,Еуро3,20000
4693,123€,41.9672284372052,21.550133228302,Peugeot,307,2001,Дизел,Рачен,Хеџбек,Сива,Македонска,072020,66kw/90ks,Еуро3,200000
4694,23500€,41.9870695865131,21.4519291484375,BMW,530,2010,Дизел,Автоматски,Седани,Црна,Македонска,072020,180kw/245ks,Еуро5,190000
4695,123€,41.9672284372052,21.550133228302,Citroen,C4,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,022021,80kw/109ks,Еуро4,170000
4696,2800€,41.9870695865131,21.4519291484375,Ford,Fusion,2004,Бензин,Рачен,Maлиградски,Сива,Македонска,012020,59kw/80ks,Еуро4,60000
4697,3700€,41.865485,21.940845,Seat,Leon,2006,Дизел,Рачен,Хеџбек,Златна,Македонска,042020,75kw/102ks,Еуро5,200000
4698,13500€,41.9870695865131,21.4519291484375,Nissan,Patrol,2004,Дизел,Рачен,Теренци-SUV,Сива,Македонска,012021,126kw/171ks,Останато,200000
4699,11€,41.9870695865131,21.4519291484375,Mitsubishi,Pajero,2019,Бензин,Рачен,Теренци-SUV,Црна,Македонска,022019,222kw/302ks,,
4700,850€,42.132926,21.715878,VWVolkswagen,Polo,1998,Бензин,Рачен,Maлиградски,Црвена,Македонска,022020,44kw/60ks,Еуро3,190000
4701,7500€,42.009423,20.971549,BMW,325,2008,Дизел,Рачен,Седани,Сина,Македонска,062020,145kw/197ks,Еуро4,200000
4702,1€,41.440569,22.639528,Opel,Signum,2006,Дизел,Полуавтоматски,Хеџбек,Црна,Македонска,082020,135kw/184ks,Еуро5,200000
4703,13500€,41.9870695865131,21.4519291484375,BMW,X5,2008,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,012021,1kw/1ks,Останато,250000
4704,7700€,41.346182,21.553379,Audi,A6,2006,Дизел,Автоматски,Седани,Црна,Македонска,082020,132kw/179ks,Останато,200000
4705,1€,42.132926,21.715878,Ford,Mondeo,1998,Дизел,Рачен,Каравани,Бела,Македонска,062021,66kw/90ks,Еуро2,25000
4706,11000€,42.009423,20.971549,VWVolkswagen,Golf,2010,Бензин,Рачен,Хеџбек,Црна,Македонска,022021,160kw/218ks,Еуро5,180000
4707,1500€,41.745515,22.19396,Renault,Twingo,2005,Бензин,Рачен,Maлиградски,Сива,Македонска,012019,0kw/0ks,Еуро4,
4708,3200€,41.346182,21.553379,AlfaRomeo,Alfa147,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,062021,105kw/143ks,Еуро4,140000
4709,2300€,41.745515,22.19396,Renault,Megane,2004,Дизел,Рачен,Хеџбек,Сива,Македонска,092020,74kw/101ks,,200000
4710,2500€,41.173346,20.677493,Ford,Mondeo,2005,Дизел,Автоматски,Каравани,Сива,Македонска,082020,98kw/133ks,Останато,200000
4711,1€,42.132926,21.715878,BMW,520,2010,Дизел,Рачен,Седани,Црна,Македонска,042020,135kw/184ks,Еуро5,200000
4712,50€,41.031728,21.329358,Audi,A4,2004,Дизел,Рачен,Седани,Сива,Македонска,052020,90kw/122ks,Еуро3,45000
4713,По договор,41.745515,22.19396,Citroen,Berlingo,2006,Дизел,Рачен,Maлиградски,Сива,Македонска,032021,51kw/69ks,Еуро4,190000
4714,6900€,41.9870695865131,21.4519291484375,Peugeot,308,2009,Дизел,Рачен,Теренци-SUV,Сива,Македонска,052020,85kw/116ks,,180000
4715,6900€,41.9969747236168,21.4794807994385,Peugeot,3008,2009,Дизел,Рачен,Теренци-SUV,Сива,Македонска,052020,85kw/116ks,,190000
4716,По договор,42.013646,21.32586,VWVolkswagen,Fox,2008,Бензин,Рачен,Maлиградски,Црвена,Македонска,012019,45kw/61ks,,150000
4717,1€,41.346182,21.553379,Audi,A6,2006,Дизел,Рачен,Седани,Сива,Странска,122020,175kw/238ks,,170000
4718,5500€,41.9870695865131,21.4519291484375,BMW,320,2008,Дизел,Рачен,Купеа,Црна,Странска,052020,177kw/241ks,Еуро4,190000
4719,1€,41.346182,21.553379,BMW,320,2010,Дизел,Рачен,Седани,Црна,Странска,122020,135kw/184ks,,150000
4720,1€,41.346182,21.553379,Opel,Insignia,2010,Дизел,Рачен,Седани,Златна,Македонска,062020,96kw/131ks,,180000
4721,1€,42.0016808462232,21.4856954803454,Renault,Clio,2005,Дизел,Рачен,Хеџбек,Зелена,Македонска,122020,60kw/82ks,,160000
4722,1000€,41.966811,22.781396,Daewoo,Nubira,2000,Бензин/Плин,Рачен,Седани,Сина,Македонска,072020,77kw/105ks,Останато,200000
4723,8800€,41.9870695865131,21.4519291484375,Fiat,500,2019,Бензин,Рачен,Maлиградски,Бела,Македонска,082020,55kw/75ks,Еуро6,5000
4724,1€,41.9870695865131,21.4519291484375,Renault,Clio,2002,Дизел,Рачен,Maлиградски,Црвена,Македонска,122020,15kw/20ks,Останато,200000
4725,По договор,41.3232816754057,21.5500259399414,Fiat,Bravo,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,022019,88kw/120ks,Останато,180000
4726,5900€,41.031728,21.329358,Hyundai,Tucson,2006,Дизел,Рачен,Теренци-SUV,Црна,Македонска,012021,83kw/113ks,Еуро4,250000
4727,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2008,Дизел,Рачен,Моноволумен,Сива,Македонска,112019,77kw/105ks,Еуро4,200000
4728,1€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2007,Дизел,Автоматски,Каравани,Црна,Македонска,112019,125kw/170ks,Еуро5,200000
4729,1€,41.9870695865131,21.4519291484375,Audi,A4,2004,Дизел,Автоматски,Каравани,Сива,Македонска,032020,120kw/163ks,,200000
4730,1650€,42.132926,21.715878,Renault,Megane,2004,Дизел,Рачен,Хеџбек,Сина,Македонска,112019,63kw/86ks,Еуро4,190000
4731,650€,41.031728,21.329358,Ford,Escort,1993,Бензин/Плин,Рачен,Каравани,Црна,Македонска,042020,77kw/105ks,Останато,55000
4732,4900€,41.438304,22.004864,Mercedes-Benz,E220,2003,Дизел,Рачен,Седани,Сина,Македонска,082020,110kw/150ks,Еуро4,250000
4733,2700€,41.51282,20.96083,Honda,Civic,1996,Бензин/Плин,Рачен,Седани,Сива,Македонска,122021,110kw/150ks,Еуро1,200000
4734,6500€,41.715954,21.770997,Chevrolet,Cruze,2011,Дизел,Рачен,Седани,Сива,Македонска,062020,110kw/150ks,Еуро5,150000
4735,1400€,41.14712,22.507161,Ford,Mondeo,2005,Дизел,Рачен,Каравани,Црна,Странска,052020,96kw/131ks,,300000
4736,5600€,41.9870695865131,21.4519291484375,Seat,Altea,2006,Дизел,Рачен,Моноволумен,Бела,Македонска,052020,105kw/143ks,Останато,100000
4737,7500€,41.440569,22.639528,Audi,A4,2009,Дизел,Автоматски,Седани,Црна,Странска,062020,105kw/143ks,Еуро4,190000
4738,3000€,42.132926,21.715878,Hyundai,Getz,2005,Дизел,Рачен,Maлиградски,Црна,Македонска,122021,81kw/110ks,Еуро4,190000
4739,2800€,41.715954,21.770997,Smart,ForFour,2004,Бензин,Рачен,Хеџбек,Сива,Македонска,102020,80kw/109ks,Еуро4,170000
4740,4500€,41.715954,21.770997,Mercedes-Benz,C270,2004,Дизел,Автоматски,Седани,Сива,Македонска,072020,125kw/170ks,Еуро4,20000
4741,1€,41.966811,22.781396,Mercedes-Benz,E220,1996,Дизел,Рачен,Седани,Златна,Македонска,092020,55kw/75ks,,250000
4742,1€,41.346182,21.553379,Toyota,Auris,2014,Дизел,Рачен,Хеџбек,Бела,Македонска,012019,66kw/90ks,,
4743,4800€,41.346182,21.553379,BMW,118,2005,Дизел,Рачен,Хеџбек,Златна,Македонска,032020,90kw/122ks,Еуро4,200000
4744,1800€,41.111733,20.798579,Peugeot,206,2000,Дизел,Рачен,Maлиградски,Црвена,Македонска,082020,51kw/69ks,Останато,140000
4745,3400€,41.438304,22.004864,Peugeot,307,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,072020,100kw/136ks,Еуро4,200000
4746,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2012,Дизел,Рачен,Каравани,Сива,Македонска,022021,77kw/105ks,Еуро5,180000
4747,1€,41.346182,21.553379,Skoda,Felicia,1996,Бензин/Плин,Рачен,Каравани,Црна,Македонска,012018,47kw/64ks,,90000
4748,1€,41.801881,20.913259,Mercedes-Benz,E270,2002,Дизел,Автоматски,Седани,Црна,Македонска,072020,177kw/241ks,Еуро4,200000
4749,950€,42.132926,21.715878,Peugeot,305,1995,Бензин/Плин,Автоматски,Хеџбек,Бела,Македонска,032020,65kw/88ks,Еуро3,200000
4750,900€,41.9870695865131,21.4519291484375,Mitsubishi,Carisma,1998,Бензин,Рачен,Хеџбек,Црна,Македонска,012018,127kw/173ks,,190000
4751,3100€,41.715954,21.770997,Fiat,GrandePunto,2008,Дизел,Рачен,Maлиградски,Црвена,Македонска,062020,55kw/75ks,Еуро4,130000
4752,4000€,41.9976650766802,21.5230676891831,BMW,318,2002,Бензин/Плин,Рачен,Купеа,Сива,Македонска,042020,105kw/143ks,Еуро2,250000
4753,1€,41.438304,22.004864,Mercedes-Benz,A180,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,122020,115kw/156ks,Останато,250000
4754,1899€,41.931839,21.502835,VWVolkswagen,Passat,1999,Бензин/Плин,Рачен,Каравани,Црвена,Македонска,112020,110kw/150ks,Еуро3,250000
4755,2600€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2002,Бензин/Плин,Рачен,Седани,Сина,Македонска,122020,143kw/194ks,Еуро3,250000
4756,1€,41.966811,22.781396,Audi,80,1992,Дизел,Рачен,Седани,Сина,Македонска,052019,75kw/102ks,Еуро2,250000
4757,5500€,41.745515,22.19396,VWVolkswagen,Passat,2007,Дизел,Рачен,Седани,Сина,Македонска,062020,105kw/143ks,Останато,190000
4758,По договор,41.924335,22.404964,Mercedes-Benz,C250,1995,Дизел,Рачен,Седани,Црна,Македонска,072020,110kw/150ks,Еуро3,400000
4759,5800€,41.438304,22.004864,VWVolkswagen,Golf,2007,Дизел,Рачен,Хеџбек,Сина,Македонска,072020,66kw/90ks,,250000
4760,1200€,41.745515,22.19396,Fiat,Ulysse,2001,Дизел,Рачен,Моноволумен,Сива,Странска,012021,80kw/109ks,Еуро3,200000
4761,3700€,41.031728,21.329358,VWVolkswagen,Golf,2006,Дизел,Рачен,Каравани,Сива,Македонска,122020,75kw/102ks,Еуро4,200000
4762,1€,41.745515,22.19396,Audi,A4,2005,Дизел,Рачен,Седани,Бела,Македонска,032018,66kw/90ks,,40000
4763,1€,41.745515,22.19396,Audi,A5,2015,Дизел,Рачен,Седани,Сива,Македонска,052019,80kw/109ks,,25000
4764,950€,41.715954,21.770997,Daewoo,Matiz,2000,Бензин,Рачен,Maлиградски,Златна,Македонска,092020,37kw/50ks,Еуро3,140000
4765,5000€,41.9889834854889,21.4608555400391,BMW,118,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,122020,90kw/122ks,Еуро4,250000
4766,1100€,41.9870695865131,21.4519291484375,Opel,Corsa,1998,Бензин/Плин,Рачен,Maлиградски,Жолта,Македонска,042018,66kw/90ks,,190000
4767,3500€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2004,Дизел,Рачен,Хеџбек,Сива,Македонска,012021,103kw/140ks,Еуро2,160000
4768,9000€,41.745515,22.19396,Mercedes-Benz,C220,2008,Дизел,Рачен,,Бела,Македонска,112020,125kw/170ks,Еуро5,160000
4769,4400€,41.9870695865131,21.4519291484375,Kia,XCeed,2009,Бензин,Рачен,Хеџбек,,Македонска,092020,66kw/90ks,Еуро4,130000
4770,7600€,41.745515,22.19396,Chevrolet,Captiva,2008,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,122021,110kw/150ks,Еуро4,170000
4771,1€,41.989867,21.581912,VWVolkswagen,GolfPlus,2005,Дизел,Рачен,Хеџбек,,Македонска,012020,77kw/105ks,Останато,20000
4772,2100€,41.9870695865131,21.4519291484375,Ford,Mondeo,2003,Бензин/Плин,Рачен,Каравани,Црвена,Македонска,032020,2kw/3ks,,30000
4773,6900€,42.132926,21.715878,Hyundai,SantaFe,2007,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,012020,105kw/143ks,Еуро4,100000
4774,1€,41.9870695865131,21.4519291484375,Opel,Vectra,2006,Дизел,Автоматски,Каравани,Сива,Странска,052021,110kw/150ks,Еуро4,200000
4775,5600€,41.931839,21.502835,Lancia,Delta,2010,Бензин,Рачен,Хеџбек,Бела,Македонска,042020,110kw/150ks,Еуро6,250000
4776,По договор,41.9725446796931,21.4738265500488,Renault,Clio,2015,Дизел,Рачен,Хеџбек,Бела,Македонска,012021,55kw/75ks,Еуро6,90000
4777,123€,41.9870695865131,21.4519291484375,Chevrolet,Captiva,2007,Дизел,Рачен,Теренци-SUV,Црна,Македонска,082019,110kw/150ks,Еуро4,190000
4778,3650€,41.9870695865131,21.4519291484375,Mini,ONE,2006,Дизел,Рачен,Maлиградски,Црна,Македонска,122020,66kw/90ks,Еуро4,190000
4779,1€,42.205478,22.333429,BMW,320,2010,Дизел,Рачен,Седани,Зелена,Странска,122020,2kw/3ks,Еуро5,180000
4780,4800€,41.031728,21.329358,Nissan,X-Trail,2003,Дизел,Рачен,Теренци-SUV,Сина,Македонска,122020,84kw/114ks,Еуро3,20000
4781,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2008,Дизел,Рачен,Каравани,Сива,Македонска,022020,103kw/140ks,Еуро4,190000
4782,По договор,41.346182,21.553379,VWVolkswagen,Bora,2000,Дизел,Рачен,Maлиградски,Црвена,Македонска,082020,66kw/90ks,Останато,
4783,1500€,41.14712,22.507161,Audi,Другмодел,1994,Дизел,Рачен,Каравани,Зелена,Македонска,032021,110kw/150ks,Еуро3,190000
4784,2663€,41.715954,21.770997,Mazda,6,2006,Дизел,Рачен,,Сина,Странска,012021,80kw/109ks,Еуро4,20000
4785,4800€,41.711096,22.848172,Audi,A4,2010,Дизел,Рачен,Седани,Сива,Странска,082020,105kw/143ks,Еуро5,200000
4786,По договор,41.495774,22.385457,VWVolkswagen,Golf,1995,Дизел,Рачен,Хеџбек,Бела,Македонска,072020,80kw/109ks,Еуро3,200000
4787,3500€,41.715954,21.770997,LandRover,Freelander,1998,Дизел,Рачен,Теренци-SUV,Зелена,Македонска,112020,80kw/109ks,Еуро1,250000
4788,2800€,41.173346,20.677493,Audi,A4,2003,Дизел,Рачен,Каравани,Сива,Македонска,052020,122kw/166ks,Еуро4,200000
4789,По договор,41.9870695865131,21.4519291484375,Skoda,Octavia,2005,Дизел,Автоматски,Каравани,Зелена,Македонска,032020,20kw/27ks,Еуро4,250000
4790,300€,41.978187,21.427388,AlfaRomeo,Alfa156,1998,Бензин,Рачен,,Сива,Македонска,012020,108kw/147ks,,120000
4791,2000€,41.9870695865131,21.4519291484375,AlfaRomeo,Alfa166,2000,Дизел,Рачен,Седани,Црна,Македонска,042020,100kw/136ks,Еуро3,250000
4792,1800€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2002,Дизел,Рачен,Каравани,Бела,Македонска,122020,50kw/68ks,Еуро3,
4793,4900€,41.346182,21.553379,Mazda,6,2008,Дизел,Рачен,,Сина,Странска,082020,103kw/140ks,Еуро4,250000
4794,1€,41.438304,22.004864,Mercedes-Benz,E220,1999,Дизел,Рачен,Седани,Сива,Македонска,072020,92kw/125ks,Останато,190000
4795,12400€,42.009423,20.971549,Audi,A6,2008,Дизел,Автоматски,Седани,Црна,Македонска,072020,180kw/245ks,Еуро5,200000
4796,1€,41.9870695865131,21.4519291484375,Zastava,750,1980,Бензин,Рачен,Maлиградски,Црна,Македонска,032020,30kw/41ks,Останато,10000
4797,4799€,42.205478,22.333429,VWVolkswagen,Golf,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,012018,77kw/105ks,Еуро4,190000
4798,500€,41.031728,21.329358,Renault,Megane,1998,Бензин,Рачен,Maлиградски,Сина,Македонска,012018,16kw/22ks,Останато,25000
4799,11200€,42.009423,20.971549,BMW,535,2008,Дизел,Автоматски,Седани,Златна,Македонска,052020,200kw/272ks,Еуро5,200000
4800,11300€,42.009423,20.971549,BMW,535,2008,Дизел,Автоматски,Седани,Златна,Македонска,062020,200kw/272ks,Еуро5,200000
4801,1€,42.205478,22.333429,Opel,Vectra,2002,Дизел,Рачен,Седани,Сива,Македонска,122021,74kw/101ks,Еуро4,150000
4802,5€,41.9870695865131,21.4519291484375,Jeep,Wrangler,2007,Бензин,Рачен,Теренци-SUV,Сива,Македонска,052020,222kw/302ks,Еуро4,20000
4803,2390€,42.132926,21.715878,Renault,Twingo,2008,Бензин,Рачен,Maлиградски,Црвена,Македонска,022020,44kw/60ks,Еуро5,150000
4804,1500€,41.9870695865131,21.4519291484375,Citroen,Xsara,2000,Дизел,Рачен,Maлиградски,Бела,Македонска,062020,45kw/61ks,,200000
4805,7500€,41.9870695865131,21.4519291484375,Citroen,C4,2011,Бензин,Рачен,Хеџбек,Црвена,Македонска,062020,90kw/122ks,Еуро5,60000
4806,2800€,41.346182,21.553379,Fiat,Idea,2006,Бензин,Рачен,Моноволумен,Сива,Македонска,102020,57kw/77ks,Еуро4,150000
4807,По договор,41.931839,21.502835,Mercedes-Benz,ML400,2003,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,082019,246kw/334ks,Еуро3,250000
4808,По договор,42.205478,22.333429,Citroen,XsaraPicasso,2007,Дизел,Рачен,Хеџбек,Црна,Странска,032018,66kw/90ks,,190000
4809,3333€,42.205478,22.333429,Citroen,XsaraPicasso,2007,Дизел,Рачен,Моноволумен,Сива,Македонска,052019,66kw/90ks,,130000
4810,3650€,42.205478,22.333429,Opel,Astra,2006,Дизел,Рачен,Каравани,Сива,Македонска,052017,88kw/120ks,,190000
4811,1€,41.9870695865131,21.4519291484375,Volvo,S40,1996,Бензин,Рачен,Седани,Црвена,Македонска,062020,85kw/116ks,Останато,200000
4812,5000€,42.0135365427681,21.4395527799813,Citroen,Jumpy,2007,Дизел,Рачен,Моноволумен,,Македонска,072021,144kw/196ks,Еуро4,200000
4813,2300€,41.9870695865131,21.4519291484375,Mercedes-Benz,A180,2006,Дизел,Рачен,Хеџбек,,Странска,102021,1kw/1ks,Еуро4,190000
