,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
83,400€,41.031728,21.329358,Yugo,45,1990,Бензин,Рачен,Maлиградски,Сива,Македонска,102020,45kw/61ks,Останато,50000
84,88€,41.516028,20.533415,BMW,525,2004,Дизел,Автоматски,Седани,Црна,Македонска,012020,130kw/177ks,Еуро4,190000
85,700€,41.924335,22.404964,Seat,Toledo,1999,Бензин/Плин,Рачен,Седани,Сива,Македонска,112020,100kw/136ks,Еуро3,200000
86,2€,41.14712,22.507161,Opel,Vectra,2004,Дизел,Рачен,Седани,Црна,Македонска,072021,110kw/150ks,Останато,250000
87,400€,40.9368283327291,21.3740560844694,Yugo,45,1990,Бензин,Рачен,Maлиградски,Сива,Македонска,112020,45kw/61ks,Останато,30000
88,2999€,42.205478,22.333429,Citroen,C3,2006,Дизел,Рачен,Maлиградски,Сива,Македонска,012020,50kw/68ks,Еуро4,180000
89,470€,42.096995,21.388571,Seat,AlteaXL,2007,Дизел,Полуавтоматски,Хеџбек,Црна,Македонска,112021,77kw/105ks,Еуро4,200000
90,По договор,41.9870695865131,21.4519291484375,Peugeot,407,2007,Дизел,Рачен,Каравани,Сива,Македонска,082021,100kw/136ks,Еуро4,200000
91,3599МКД,41.9870695865131,21.4519291484375,Audi,A4,2002,Дизел,Рачен,Хеџбек,Сина,Македонска,122021,96kw/131ks,Еуро4,200000
92,9500€,41.346182,21.553379,VWVolkswagen,Passat,2012,Дизел,Рачен,Каравани,Сива,Македонска,022021,110kw/150ks,Еуро5,250000
93,1200€,41.346182,21.553379,Audi,A6,2002,Дизел,Рачен,Седани,Сина,Странска,122021,120kw/163ks,Еуро4,95000
94,242524€,42.0386497069772,21.4149033778804,VWVolkswagen,Golf,2008,Дизел,Автоматски,Седани,Црна,Странска,022021,77kw/105ks,,120000
95,1€,41.966811,22.781396,Lada,1200,1986,Бензин/Плин,Рачен,Седани,Црвена,Македонска,012020,44kw/60ks,Еуро6,60000
96,24500€,41.9870695865131,21.4519291484375,BMW,320,2015,Дизел,Автоматски,Седани,Црна,Македонска,092021,190kw/258ks,Еуро6,190000
97,3500€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2002,Дизел,Автоматски,Седани,Сива,Македонска,032021,106kw/144ks,Еуро4,250000
98,12400€,41.090247,21.016781,Mercedes-Benz,GLK220,2009,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,072021,125kw/170ks,Еуро5,250000
99,5€,41.9870695865131,21.4519291484375,Audi,A3,2007,Дизел,Рачен,Седани,Црна,Македонска,012020,77kw/105ks,Еуро5,180000
100,1500€,41.9870695865131,21.4519291484375,Renault,Megane,2000,Бензин/Плин,Рачен,Седани,Сива,Македонска,122020,78kw/106ks,Еуро3,190000
101,4000€,41.9870695865131,21.4519291484375,Audi,A3,2002,Бензин/Плин,Рачен,Останато,Црна,Македонска,082021,110kw/150ks,Останато,250000
102,По договор,41.966811,22.781396,Audi,A6,2008,Дизел,Автоматски,Седани,Сива,Странска,102021,140kw/190ks,Еуро4,190000
103,4999€,42.205478,22.333429,Audi,A4,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,012019,103kw/140ks,Еуро4,190000
104,2800€,41.484224,22.089622,Seat,Ibiza,2005,Бензин,Рачен,Хеџбек,Сива,Македонска,122020,47kw/64ks,Еуро4,200000
105,6000МКД,41.438304,22.004864,Ssangyong,REXTON,2007,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,052021,137kw/186ks,Еуро4,200000
106,790€,41.931839,21.502835,Ford,Ka,1998,Бензин,Рачен,Maлиградски,Сина,Македонска,032022,100kw/136ks,Останато,15000
107,2150€,41.438304,22.004864,Renault,Laguna,2003,Дизел,Рачен,Каравани,Зелена,Македонска,082019,88kw/120ks,Еуро3,200000
108,3400€,41.9870695865131,21.4519291484375,Fiat,GrandePunto,2007,Дизел,Рачен,Хеџбек,Црвена,Македонска,052021,96kw/131ks,Еуро4,150000
109,300€,41.111733,20.798579,Peugeot,106,1997,Дизел,Рачен,Maлиградски,Сина,Македонска,012018,55kw/75ks,Еуро3,400000
110,3500€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2002,Дизел,Автоматски,Седани,Сива,Македонска,032021,106kw/144ks,Еуро4,250000
111,2200€,41.346182,21.553379,Ford,Focus,2001,Дизел,Рачен,Хеџбек,Сива,Македонска,122020,66kw/90ks,Останато,190000
112,3000€,41.9870695865131,21.4519291484375,Renault,Scenic,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,062021,78kw/106ks,Еуро4,190000
113,1300€,42.132926,21.715878,BMW,325,1996,Дизел,Рачен,Седани,Сина,Македонска,022019,103kw/140ks,Еуро3,200000
114,4900€,41.9870695865131,21.4519291484375,Citroen,C3,2011,Дизел,Рачен,Хеџбек,Црна,Македонска,092021,55kw/75ks,Еуро5,150000
115,6600€,42.0013557524614,21.379237872699,VWVolkswagen,Sharan,2009,Дизел,Рачен,Каравани,Сива,Македонска,102021,103kw/140ks,Еуро4,20000
116,4900€,41.9870695865131,21.4519291484375,Citroen,C3,2011,Дизел,Рачен,Хеџбек,Црна,Македонска,092021,55kw/75ks,Еуро5,150000
117,2200€,41.9870695865131,21.4519291484375,Ford,Fiesta,2008,Бензин/Плин,Рачен,Хеџбек,Бела,Македонска,062021,52kw/71ks,Еуро4,190000
118,4900€,41.9870695865131,21.4519291484375,Citroen,C3,2011,Дизел,Рачен,Хеџбек,Црна,Македонска,092021,55kw/75ks,Еуро5,150000
119,1200€,42.013646,21.32586,Fiat,600,2009,Бензин/Плин,Рачен,Maлиградски,Бела,Македонска,112020,44kw/60ks,Останато,65000
120,5500€,42.009423,20.971549,Dodge,Caliber,2007,Дизел,Рачен,Хеџбек,Сина,Македонска,122021,70kw/95ks,Еуро4,200000
121,7499€,42.132926,21.715878,Mercedes-Benz,CLS320,2006,Дизел,Автоматски,Купеа,Црвена,Странска,062021,165kw/224ks,Еуро4,
122,800€,42.132926,21.715878,Seat,Cordoba,1995,Бензин/Плин,Рачен,Седани,Црна,Македонска,072021,77kw/105ks,Еуро1,200000
123,1€,41.440569,22.639528,Citroen,AX,1992,Бензин,Рачен,Maлиградски,Сива,Македонска,012021,42kw/57ks,Еуро1,180000
124,1€,41.635743,22.470056,Hyundai,Trajet,2020,Дизел,Рачен,Каравани,Сина,Странска,012021,1kw/1ks,Останато,
125,600€,41.090247,21.016781,Yugo,55,1991,Бензин,Рачен,Maлиградски,Црвена,Македонска,112021,44kw/60ks,Останато,40000
126,По договор,41.031728,21.329358,Yugo,55,2006,Бензин,Рачен,Maлиградски,Жолта,Македонска,012020,55kw/75ks,Еуро1,
127,По договор,42.009423,20.971549,VWVolkswagen,CC,2009,Дизел,Рачен,Седани,Бела,Македонска,112021,125kw/170ks,Останато,200000
128,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2008,Дизел,Автоматски,Maлиградски,Црна,Македонска,042021,77kw/105ks,Еуро5,250000
129,2€,41.9979890052241,21.3256162405014,VWVolkswagen,Polo,2001,Дизел,Рачен,Maлиградски,Сива,Македонска,112020,55kw/75ks,,200000
130,4600€,42.132926,21.715878,Seat,Leon,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,082021,75kw/102ks,Еуро4,170000
131,60000€,42.0066393697972,21.395425146011,Jaguar,XJ,2012,Бензин,Автоматски,Седани,Црна,Македонска,012019,414kw/563ks,Еуро5,60000
132,1€,41.9870695865131,21.4519291484375,Mercedes-Benz,A170,1999,Дизел,Рачен,Maлиградски,Сива,Македонска,082021,66kw/90ks,Останато,200000
133,1€,41.9870695865131,21.4519291484375,Mercedes-Benz,A170,1999,Дизел,Рачен,Maлиградски,Сива,Македонска,082021,66kw/90ks,Останато,200000
134,10€,41.031728,21.329358,Renault,R4,1993,Бензин,Рачен,Maлиградски,Црвена,Македонска,072019,110kw/150ks,,80000
135,1€,41.9870695865131,21.4519291484375,BMW,320,2003,Дизел,Рачен,Останато,,Македонска,112021,110kw/150ks,Еуро4,300000
136,2500€,42.205478,22.333429,VWVolkswagen,Golf,2001,Дизел,Рачен,Каравани,Бела,Македонска,082021,74kw/101ks,Еуро3,300000
137,3200€,41.9870695865131,21.4519291484375,Renault,Megane,2004,Дизел,Рачен,Кабриолети,Црвена,Македонска,122021,88kw/120ks,Еуро4,200000
138,4750€,42.132926,21.715878,Mercedes-Benz,200,2005,Дизел,Рачен,Седани,Сива,Македонска,102021,150kw/204ks,Еуро5,200000
139,7500€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2009,Дизел,Рачен,Останато,Црна,Македонска,102021,81kw/110ks,Еуро5,200000
