,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација
2729,97000,41.978187,21.427388,3.0,120,Друго,4кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,Нема,Југ
2730,68000,41.949632,21.502494,2.0,56,Централно,9кат,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Не,1Паркинг,Југ
2731,66000,41.9870695865131,21.4519291484375,4.0,92,Друго,6кат,ВоЗграда,Нов,Празен,Да,1Балкон,2,Не,2Паркингместа,Североисток
2732,71400,41.9870695865131,21.4519291484375,2.0,68,Друго,5кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Северозапад
2733,71500,41.9870695865131,21.4519291484375,3.0,65,Централно,5кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Југ
2734,71500,41.9870695865131,21.4519291484375,3.0,65,Централно,2кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Југ
2735,93000,41.9870695865131,21.4519291484375,4.0,99,Централно,4кат,ВоЗграда,Стар,Празен,Да,1Тераса,2,Да,Нема,Југоисток
2736,37000,41.031728,21.329358,3.0,60,Струја,5кат,ВоЗграда,Стар,Полунаместен,Не,1Балкон,1,Да,Нема,Југоисток
2737,54000,41.949632,21.502494,3.0,66,Струја,4кат,ВоЗграда,Стар,Наместен,Не,1Балкон,1,Да,1Паркинг,Југозапад
2738,52000,42.3370316089426,23.5573019283455,3.0,103,Нема,3кат,ВоЗграда,Нов,Празен,Не,1Балкон,1,Да,1Паркинг,Северозапад
2739,58000,41.9870695865131,21.4519291484375,3.0,48,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Да,1Паркинг,Југ
2740,40000,41.111733,20.798579,2.0,49,Струја,Приземје,ВоЗграда,Нов,Наместен,Не,1Балкон,1,Не,1Паркинг,Југ
2741,55000,41.991502,21.39781,3.0,59,Централно,4кат,ВоЗграда,Стар,Празен,Не,1Балкон,1,Да,1Паркинг,Исток
2742,120000,41.9870695865131,21.4519291484375,4.0,166,Струја,7кат,ВоЗграда,Реновиран,Наместен,Да,1Балкон,2,Не,1Паркинг,Север
2743,50600,41.9870695865131,21.4519291484375,2.0,44,Централно,1кат,ВоЗграда,Реновиран,Наместен,Да,Нема,1,Не,Нема,Југ
2744,74145,41.9870695865131,21.4519291484375,2.0,52,Централно,Приземје,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Исток
2745,61250,41.949632,21.502494,2.0,49,Друго,1кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Запад
2746,141600,41.991502,21.39781,4.0,118,Друго,2кат,ВоЗграда,Нов,Празен,Да,2Балкони,Повеќеод2,Не,1Паркинг,Југозапад
2747,49000,41.931839,21.502835,2.0,42,Струја,2кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Не,Нема,Југ
2748,72000,41.978187,21.427388,3.0,70,Централно,5кат,ВоЗграда,Нов,Наместен,Да,2Балкони,1,Не,Нема,Југ
2749,95000,41.9870695865131,21.4519291484375,4.0,110,Централно,4кат,ВоЗграда,Стар,Празен,Не,2Балкони,1,Да,Повеќеод3паркингместа,Исток
2750,78000,41.9870695865131,21.4519291484375,3.0,75,Централно,1кат,ВоЗграда,Реновиран,Наместен,Не,1Балкон,1,Не,Нема,Исток
2751,45000,41.949632,21.502494,2.0,47,Струја,5кат,ВоЗграда,Реновиран,Празен,Да,1Тераса,1,Не,1Паркинг,Југоисток
2752,77000,41.949632,21.502494,3.0,87,Централно,5кат,ВоЗграда,Стар,Празен,Да,2Балкони,1,Да,1Паркинг,Исток
2753,51000,41.9870695865131,21.4519291484375,2.0,45,Струја,Приземје,ВоЗграда,Нов,Полунаместен,Не,1Балкон,1,Да,1Паркинг,Југ
2754,39000,41.440569,22.639528,3.0,56,Струја,2кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Да,1Паркинг,Исток
2755,51000,41.9868771985873,21.4473709068261,1.0,38,Централно,2кат,ВоЗграда,Нов,Празен,Да,1Тераса,1,Не,1Гаража,Запад
2756,45000,41.9045767693457,22.3894500732422,2.0,70,Друго,1кат,ВоЗграда,Нов,Наместен,Не,1Балкон,1,Да,1Паркинг,Запад
2757,72000,41.9870695865131,21.4519291484375,3.0,78,Централно,11кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,2,Да,1Паркинг,Југ
2758,45390,41.949632,21.502494,2.0,51,Централно,1кат,ВоЗграда,Воградба,Празен,Да,1Балкон,1,Не,1Паркинг,Југ
2759,115500,41.988013586478,21.436234228313,4.0,110,Централно,4кат,ВоЗграда,Реновиран,Полунаместен,Да,1Балкон,2,Не,Нема,Југоисток
2760,49000,42.003425,21.463615,2.0,58,Централно,4кат,ВоЗграда,Реновиран,Празен,Не,1Тераса,1,Не,1Паркинг,Југозапад
2761,70000,41.949632,21.502494,3.0,75,Централно,5кат,ВоЗграда,Стар,Празен,Да,1Тераса,1,Не,1Паркинг,Југоисток
