,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW
2525,По договор,Opel,Zafira,2003,Дизел,250000,Рачен,Моноволумен,Сива,Македонска,92021,101,Еуро3,74
2527,По договор,Opel,Corsa,2006,Бензин,160000,Рачен,Хеџбек,Златна,Странска,92021,80,Еуро4,59
2528,По договор,VWVolkswagen,GolfPlus,2006,Дизел,300000,Рачен,Maлиградски,Сина,Македонска,211625,105,Еуро4,77
2531,По договор,VWVolkswagen,Golf,2010,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,122022,27,Еуро5,20
2536,По договор,BMW,530,2011,Дизел,200000,Автоматски,Седани,Црна,Македонска,82021,258,Еуро5,190
2561,По договор,Opel,Astra,2006,Дизел,190000,Рачен,Седани,Сива,Македонска,62022,0,Останато,0
2562,По договор,Audi,A4,1997,Бензин,180000,Автоматски,Хеџбек,Сина,Македонска,12020,156,Еуро3,115
2581,По договор,Seat,Ibiza,2010,Дизел,65000,Рачен,Хеџбек,Сива,Македонска,72022,75,Еуро6,55
2585,По договор,BMW,120,2009,Дизел,200000,Автоматски,Maлиградски,Бела,Македонска,52022,143,Еуро5,105
2602,По договор,BMW,120,2009,Дизел,200000,Автоматски,Maлиградски,Бела,Македонска,62021,143,Еуро4,105
2610,По договор,Mercedes-Benz,Sprinter,1995,Дизел,5000,Рачен,Останато,Жолта,Македонска,111625,122,Еуро2,90
2625,По договор,Ford,Kuga,2009,Дизел,180000,Рачен,Теренци-SUV,Сива,Македонска,82021,136,Еуро5,100
2629,По договор,Fiat,Punto,2012,Дизел,190000,Рачен,Maлиградски,Сина,Македонска,12021,95,Еуро5,70
2633,По договор,Audi,Q7,2008,Дизел,190000,Автоматски,Теренци-SUV,Црна,Македонска,911625,326,Еуро5,240
2647,По договор,LandRover,Discovery,1994,Дизел,5000,Рачен,Каравани,Сина,Македонска,62018,113,Еуро3,83
2651,По договор,Hyundai,Accent,2006,Бензин,140000,Рачен,Седани,Сива,Македонска,82022,84,Еуро5,62
2672,По договор,Seat,Leon,2009,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,82022,105,Еуро4,77
2678,По договор,Toyota,Avensis,2009,Дизел,250000,Рачен,Каравани,Сива,Македонска,62022,126,Еуро3,93
2700,По договор,Renault,Scenic,2005,Дизел,190000,Рачен,Моноволумен,Црна,Странска,92021,131,Еуро4,96
2706,По договор,BMW,530,2005,Дизел,200000,Автоматски,Седани,Црна,Македонска,82022,0,Еуро4,0
2708,По договор,Audi,A4,2009,Дизел,200000,Автоматски,Каравани,Црна,Македонска,82022,190,Еуро4,140
2731,По договор,Opel,Corsa,2009,Дизел,190000,Рачен,Maлиградски,Златна,Македонска,102021,75,Еуро4,55
2737,По договор,Honda,Civic,1998,Бензин/Плин,180000,Рачен,Седани,Сина,Македонска,52021,90,Еуро4,66
2738,По договор,Mini,ONE,2009,Бензин,120000,Рачен,Maлиградски,Златна,Македонска,102021,95,Еуро5,70
2741,По договор,VWVolkswagen,Caddy,2000,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,62021,94,Еуро4,69
2754,По договор,Mercedes-Benz,320,2004,Дизел,300000,Автоматски,Седани,Црна,Македонска,72022,204,Еуро3,150
2767,По договор,Opel,Astra,2006,Бензин/Плин,200000,Рачен,Каравани,Сива,Македонска,32022,105,Еуро4,77
2770,По договор,Jaguar,X-Type,2006,Дизел,100000,Рачен,Седани,Црна,Странска,12021,131,Еуро4,96
2781,По договор,Hyundai,Accent,2006,Бензин,140000,Рачен,Седани,Сива,Македонска,82020,84,Еуро5,62
2797,По договор,Opel,Vectra,2001,Дизел,250000,Рачен,Каравани,Црна,Македонска,22021,136,Еуро3,100
2798,По договор,Peugeot,3008,2011,Дизел,180000,Рачен,Моноволумен,Сина,Македонска,12021,120,Еуро5,88
2803,По договор,Volvo,XC60,2010,Дизел,200000,Автоматски,Теренци-SUV,Сива,Странска,122021,204,Еуро5,150
2806,По договор,VWVolkswagen,Golf,2015,Дизел,180000,Рачен,Хеџбек,Бела,Македонска,62022,90,Еуро6,66
2831,По договор,Skoda,Octavia,2008,Бензин/Плин,200000,Рачен,Maлиградски,Жолта,Македонска,72020,75,Останато,55
2838,По договор,AlfaRomeo,Alfa159,11624,Дизел,20000,Рачен,Седани,Црна,Македонска,92021,150,Еуро4,110
2843,По договор,Hyundai,Accent,2006,Бензин,140000,Рачен,Седани,Сива,Македонска,82022,84,Еуро5,62
2844,По договор,VWVolkswagen,Golf,2004,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,122021,140,Останато,103
2847,По договор,Hyundai,Accent,2006,Бензин,140000,Рачен,Седани,Сива,Македонска,82022,84,Еуро5,62
2848,По договор,Audi,A4,2007,Дизел,180000,Рачен,Седани,Сина,Македонска,82022,116,Еуро4,85
2849,По договор,Mercedes-Benz,C220,1999,Дизел,200000,Рачен,Седани,Сива,Македонска,12021,0,Еуро4,0
2860,По договор,Seat,Cordoba,2005,Бензин/Плин,190000,Рачен,Седани,Црвена,Македонска,82022,75,Еуро4,55
2863,По договор,Mercedes-Benz,ML350,2011,Дизел,200000,Автоматски,Теренци-SUV,Бела,Македонска,122020,245,Еуро5,180
2883,По договор,BMW,525,2005,Дизел,300000,Полуавтоматски,Каравани,Црна,Македонска,42022,184,Еуро4,135
2884,По договор,Kia,Picanto,2006,Бензин,140000,Рачен,Maлиградски,Црвена,Македонска,12021,68,Еуро4,50
2914,По договор,VWVolkswagen,Jetta,2008,Дизел,180000,Рачен,Седани,Сина,Македонска,12022,105,Еуро4,77
2918,По договор,Toyota,RAV4,2011,Дизел,130000,Рачен,Теренци-SUV,Сива,Македонска,12021,150,Еуро5,110
2942,По договор,BMW,118,2009,Дизел,190000,Рачен,Седани,Црна,Македонска,12022,1,Еуро5,1
2948,По договор,BMW,X1,2013,Дизел,200000,Рачен,Теренци-SUV,Златна,Македонска,511625,150,Еуро5,110
2964,По договор,Peugeot,307,2003,Дизел,180000,Рачен,Каравани,Црна,Македонска,72022,109,Еуро3,80
2995,По договор,Audi,A3,2004,Дизел,130000,Рачен,Maлиградски,Црна,Македонска,12020,145,Еуро4,107
3009,По договор,Toyota,Auris,2007,Дизел,200000,Рачен,Останато,Сина,Македонска,122021,90,Еуро4,66
3020,По договор,Ford,C-Max,2007,Дизел,180000,Рачен,Моноволумен,Сина,Македонска,72022,116,Еуро4,85
3033,По договор,Opel,Astra,2007,Дизел,200000,Рачен,Каравани,Сива,Македонска,22021,120,Еуро4,88
3034,По договор,Opel,Corsa,2009,Бензин/Плин,180000,Рачен,Maлиградски,Сина,Македонска,12021,75,Еуро4,55
3035,По договор,BMW,120,2005,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,62022,163,Еуро4,120
3036,По договор,Mazda,2,2009,Бензин,130000,Рачен,Maлиградски,Сина,Македонска,92021,75,Еуро5,55
3037,По договор,Opel,Meriva,2012,Дизел,140000,Рачен,Моноволумен,Сива,Македонска,12021,90,Еуро5,66
3038,По договор,VWVolkswagen,Golf,2010,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,12021,140,Еуро4,103
3039,По договор,Opel,Astra,2004,Дизел,190000,Рачен,Хеџбек,Сина,Македонска,12021,101,Еуро4,74
3040,По договор,Ford,Kuga,2008,Дизел,110000,Рачен,Теренци-SUV,Златна,Македонска,12021,136,Еуро4,100
3044,По договор,Renault,Megane,2010,Дизел,170000,Рачен,Хеџбек,Бела,Македонска,12020,86,Еуро4,63
3066,По договор,Seat,Leon,2013,Дизел,160000,Рачен,Хеџбек,Бела,Македонска,12022,105,Еуро5,77
3067,По договор,VWVolkswagen,Tiguan,2014,Дизел,160000,Рачен,Теренци-SUV,Бела,Македонска,22022,109,Еуро5,80
3070,По договор,Mercedes-Benz,C200,2002,Дизел,250000,Рачен,Моноволумен,Сива,Македонска,82022,14,Еуро4,10
0,По договор,Mercedes-Benz,CLS350,2012,Дизел,110000,Автоматски,Седани,Црна,Македонска,52022,265,Еуро5,195
22,По договор,Seat,Toledo,2007,Дизел,200000,Рачен,Седани,Сина,Македонска,32022,105,Еуро4,77
34,По договор,Mercedes-Benz,C220,2016,Дизел,25000,Автоматски,Седани,Бела,Македонска,62020,231,Еуро6,170
86,По договор,Toyota,RAV4,2002,Дизел,250000,Рачен,Теренци-SUV,Сина,Македонска,12020,116,Еуро3,85
91,По договор,Nissan,Micra,2006,Бензин,90000,Рачен,Maлиградски,Сива,Македонска,92022,0,Еуро4,0
109,По договор,Audi,A3,2006,Дизел,180000,Рачен,Maлиградски,Црна,Странска,22020,140,Еуро4,103
112,По договор,VWVolkswagen,Polo,2007,Бензин,150000,Рачен,Maлиградски,Сива,Македонска,92021,60,Еуро4,44
126,По договор,Ford,Fiesta,2008,Бензин,150000,Рачен,Maлиградски,Сина,Македонска,92022,75,Еуро5,55
